event_no,layer_num,0
330,3.0,105
506,5.0,105
5904,5.0,105
5556,5.0,105
987,5.0,105
331,4.0,105
2233,4.0,105
516,4.0,105
1683,5.0,105
999,5.0,105
35,4.0,105
1562,4.0,105
5431,5.0,105
1700,3.0,105
1568,4.0,105
3934,3.0,105
2708,5.0,105
6123,4.0,105
1137,1.0,105
3976,4.0,105
2441,4.0,105
3433,4.0,105
730,5.0,105
3126,5.0,105
2008,3.0,105
2434,5.0,105
4390,5.0,105
2827,4.0,105
2081,4.0,105
4395,4.0,105
3448,5.0,105
5854,2.0,105
2908,5.0,105
272,3.0,105
2578,5.0,105
2317,4.0,105
2471,4.0,105
5529,4.0,105
4764,3.0,105
2911,5.0,105
1243,4.0,105
2670,5.0,105
3874,4.0,105
4394,2.0,105
4638,4.0,105
844,4.0,105
6333,3.0,105
737,4.0,105
3937,3.0,105
1209,4.0,105
1996,4.0,105
1603,5.0,105
4754,4.0,105
3913,3.0,105
42,3.0,105
5434,2.0,105
3144,4.0,105
1489,5.0,105
2098,4.0,105
3071,2.0,105
3495,4.0,104
2257,4.0,104
4782,5.0,104
1554,5.0,104
2308,2.0,104
3525,5.0,104
5931,4.0,104
3853,3.0,104
2015,5.0,104
1321,5.0,104
3504,5.0,104
4093,3.0,104
1638,5.0,104
5,4.0,104
2813,4.0,104
1603,4.0,104
1873,5.0,104
4728,3.0,104
5370,2.0,104
1998,4.0,104
2295,3.0,104
3875,5.0,104
5158,5.0,104
4034,3.0,104
5569,5.0,104
4785,5.0,104
4627,5.0,104
1544,3.0,104
4570,5.0,104
3847,5.0,104
4832,5.0,104
2009,5.0,104
3755,5.0,104
5795,3.0,104
1126,4.0,104
154,5.0,104
6227,5.0,104
1516,2.0,104
1063,5.0,104
4185,5.0,104
5827,4.0,104
3697,4.0,104
3381,3.0,104
3384,5.0,104
2798,5.0,104
5358,4.0,104
2138,5.0,104
309,4.0,104
4793,4.0,104
2132,3.0,104
2112,4.0,104
4794,5.0,104
4167,4.0,104
5361,5.0,104
1135,5.0,104
3549,4.0,104
1590,3.0,104
2926,2.0,104
4150,4.0,104
4217,4.0,104
3860,4.0,104
1601,4.0,104
5314,3.0,104
5654,4.0,104
1526,5.0,104
2030,3.0,104
4275,5.0,104
1823,4.0,104
1617,5.0,104
